Developer,Occurrence Count
Tairound Games,1
Tainted Pact,2
Tainted Mask,1
Tainted Games,5
Tailwind Games,1
Tails Games,1
Tailfin Games,1
Tail House,1
Taiga,3
Taifuuni,1
Taichi Games,2
Tai Yi,1
Tahoe Games,1
Tagunda LLC,1
Taggrin,1
"Tagetes Team, TellerySpyro_GTX",1
TagYourItGaming,1
Tag of Joy,1
Tag Team,1
Tag Studio,1
Tag 44/24,2
Tael Ling Lin,1
Tadpole Games,1
Tadej Fius,1
Tadeas Herentin,1
Tadatoto,1
Tad Cordle,1
Tacty Studio,3
Tactigon Games Studio,1
Tactichaos,1
Tactical Dogs,1
Tactical Air Horse,1
Tactical Adventures,1
Tactical AR,1
Tactic Studios Inc.,1
Tactic Forge,1
TacoEaters,1
Taco Truck Games,2
Tackorama Ltd,1
Tackle Boy,1
"Tachyon Inc., Natsume Inc.",1
Tachyon Factory,1
"Tachi, Vaka Game Magazine",1
Tabula Rasa Game Studio,1
Tabletopia,1
Table Flip Games,1
"Table 9 Studio, LLC",1
Table 9 Studio,1
Tabc3dd,1
Tabby Cat,1
Tabbing Tabby,1
Taba Marton,1
Taba Games,1
Tab Games,2
Taavi Teemaa,1
T_T Games,2
TYV,1
TYSoft,2
TYPE-III,1
TYG,1
TYB Publishing,2
TX2,1
TWhippp Games,1
TWOODY PRODUCTIONS,1
TWO B SOFT,3
TW Potato,1
TVM Studio,1
TURBOGUN,1
TUNNEL no.73,1
TUNNEL No.73,1
TUNIC Team,1
TUG team,1
"TTeokLeaf, Wojtek",2
TTeokLeaf,1
TTU Games,1
TTLCIC,2
TTK,1
TTCX Inc.,1
TT Studios,1
"TT Games, Traveller's Tales",1
"TT Games, Feral interactive (Mac)",1
"TT Games, Feral Interactive (Mac)",3
TT Games Ltd,2
TT Games,3
"TT Fusion, Traveller's Tales",1
TStudioGames,1
TSUKASAYA,1
TSS Studio,2
TSRS,2
TSN Entertainment,3
TSICGAMES,1
TSGames,1
TSGS,1
TRavljen,1
TRYLIGHT GAME STUDIO,1
TRT World,1
TROPIC PENGUIN GAMES,2
TROLL STUDIOS,1
TRIP,1
TRIK Soft,2
TRIANGLE SERVICE,8
TRI.G,1
TRI-SYM,1
TREON Games,1
"TREND, Soft Pro",1
TREEWOOD STUDIOS Inc.,1
TREEWISE,1
TREE Industries,1
TREBUCHET,3
TRC,1
TRAINDZ GAMES,1
TRAGsoft,1
TR8 Torus Studios,2
TR Games,1
"TPP, ridho_h",1
TPP Studio,2
TPOTgame,1
TPM.CO SOFT WORKS,2
TP Team,1
TOYURO,1
"TOYOMARU INDUSTRY CO., LTD.",1
TOYBOX,1
TOUGON,1
TOUCHFLOW GAMES,1
TOTGameroom,1
TOTATO,1
TORaIKI,1
TORSHOCK,1
TORITEN GAMES,1
TOQ Games,1
TOPERUS,1
TOMOREAKER,1
TOMO CAMP,1
TOMATOVR,5
TOMAGameStudio,3
"TOM CREATE, 株式会社トムクリエイト",1
"TOM CREATE CO.,LTD.",2
TOKYOTOON,4
TOITAN,1
TOG,1
TNoJTeam,1
TNTeam,1
TNTNTDev,1
TNT Team,2
TMR,1
TMN | SGR,2
"TML-Studios, PEDEPE",1
TML-Studios,12
TMFX Studios,1
"TMAS, WIZWIN",1
TMAS,1
TMA Games LLC,1
TM xR Lab,1
TLTS,1
TLSoul,1
TLS Group,1
"TLR Games, pequeño salto mortal",1
"TLR Games, TRAHELIUM",1
TLR Games,1
TKR,1
TKG Inc.,1
TK Studio,1
TK Games,1
TK,1
TJ Lagasse,1
TJ,1
TITI Studios,2
TITANIUM ARMOR,2
TITA Studios,4
TITA Studio,1
TIT Studios,1
TIPA Games Berlin,1
TINYCBUNNY STUDIOS,1
TIMECRASHGAMES,1
TILTED SHED STUDIOS,1
"TIKIPOD, Electric Cafe",1
TIKIPOD,3
TIGERCAT,1
TIAN DA HAI,1
TIAN CHENGLONG,1
THung,1
THREECORN,1
THREE ONE ZERO,1
"THQ Nordic, Mind Over Matter Studios",1
THQ Nordic Barcelona,1
THQ Nordic,1
THORSDAYORIGIN,2
THIRTEENTH FLOOR,1
THIRTEENDAYS,1
THIAGO COSTA MENDES,1
THE_HUNTER_MX,1
THETABLE Z,2
THEREED BAS,1
THELAKEOFMOONLIGHT,1
THE VISION,1
THE PARASIGHT,1
"THE NOVELLUS GROUP, LLC",1
THE CODEMEON COMPANY,1
THE BROTHERHOOD,4
THE BRICKS GAMES,1
TGR Studios,1
TGMB Studio,1
TGM,4
TGAME,1
TGA Company LLC,1
"TFlippy, JunkJen",1
"TFR Team - Heiden, aMira, Debbie, and more, Heiden, Alicia Mira Kim (AliMira), Debbie Trader (RyeTaran), Mike Morton, Liam, Many other kind helpers!!!",1
TFL Games,1
TFK Studios,1
TFI Studio,1
TF Games,1
TETRADOTOXIN,1
TETHORAX SOFTWORKS,1
TERNOX,9
TERC,1
TERARIN GAMES,6
TERA14,1
TENTACLE SOFT,1
TENPA-Studio-,1
TENBIRDS,1
TEMPER,1
TEKUNOS A,1
"TEKO, Alex Timbro",1
TEKNOSOFT,3
TEHO Games,1
TEGA Studio,1
"TECRON VR, iNFINITE PRODUCTION",2
TECOPARK,2
TECHNOBOG,1
TECHNICAL ARTS,1
TECHHOME,2
TEASOFT,2
TEAPOT Creation,1
TEAM_ETS,1
TEAM101,1
TEAM TANDS PLUS,1
TEAM PARAPOLY,1
TEAM HORAY,1
TEAM Black Hat Robot,4
TEAIB,2
TE'OM Games,1
"TDZ Games, Gamecraft Studios",1
TDO Games,1
TD Games,2
TD,2
TChapman500,1
TCR,1
TCP Studios,1
TCHOW,3
TC MAC Studio,1
TC Games,1
TBatlas,1
TBM Studios,1
"TBM SP, Chocolate Beast",1
TBGS Indie Studio,1
TBF,2
TBDTS Games,1
TBD,1
TB Games,6
TAUNT,3
TATSUMI ELECTRONICS,1
TAS Systems Corp,3
TAS Systems,2
TARTORGAMES S.R.L,1
TARP Studio,1
TARO,1
TARAKAN GAMES,1
TAP OK G,1
TANTANMEN,1
TANDS game development,1
TAMSOFT CORPORATION,1
TALOF Games,1
TALLGLASS,1
TALLBOYS,2
"TALESSHOP Co., Ltd.",9
TALES-G,1
TALEROCK,1
"TAITO CORP., M2 Co.,LTD",2
TAITO CORP.,3
TAEHOON KIM,1
TADVGames Studio,1
TAD Productions AB,1
TACSOU,1
TACS Games,2
"TABOT, inc., Natsume Inc.",1
T4lus Development,1
T4 Studio,1
T4 Interactive,1
T3Entertainment,3
T34 Studio,2
T3 Entertainment,1
T2Enter,1
T19 Games,1
T124 Studios LLC,1
T0 STUDIO,1
T.R.S.,1
T.M.Ngulo,1
T.LEE,1
T.I.E. apps,1
T.H.L Games,2
T.G.digitalsoft,1
T.F.A.N.C.S.,1
"T.F. Wright, Volkenfox",1
T.F. Wright,1
T.E.S.B.,1
T.AdVance,1
T. R.,1
T-Works,1
"T-Time Technology CO., LTD.",1
T-Rex Games,1
T-Hex,1
T-Bull,10
T Cubed Software,1
SЁLO,1
Sławomir Kmiecik,1
Søren Trautner Madsen,1
Sørb,3
"Sólfar Studios, RVX",1
Sólfar Studios,1
Sérgio Rodrigues,1
Sébastien Q.,1
"Sébastien Gaumin, François Brechet",1
"Sándor Vágási, Norbiúr",1
SÚRSPIL,1
Szunami,1
Szekretar,2
Syun-kan Flowlighter,2
"Systemsoft beta, Inc.",1
Systemic Reaction™,3
Systemic Games,1
SystemSoft Alpha Corporation,1
SystemSoft Alpha Cooperation,1
System Prisma,1
System Masters,1
System Erasure,2
System Era Softworks,1
System 3,4
Sysreb Games,2
Sysiac Games,1
Sysdia Games,1
Syrup Surprise,1
Syrent Games,1
Syrena Interactive,1
SypherZent,2
Synthetic Vector Studios,1
Synthetic Systemz,2
Synthetic Mind AB,1
Synthetic Games,2
Synthetic Forms,2
Synthetic Domain,3
Synthesis Games,1
Synthbiotic Studios,1
SynthCat,1
Synter Games,1
Synstoria,1
Synset,1
Synrec,1
Synox Games,1
Synodic Arc,1
Synnergy Circle Games,4
Synetic GmbH,3
Synetic,2
Synesthetic Echo,1
"Synersteel Studio, LLC",2
Synersteel Studio,1
Synectix Games,1
"Syndrome interactive, Cat God Studio",1
Syndrome Entertainment,1
Syncope,1
"SynaptixGames, LLC",1
"SynapticSwitch, LLC",1
Synaptic Response,1
"Synapse Games, Chinzilla",1
Synapse Games,1
SynAtria Studios,1
Syn's Studio,1
Symptomatic Productions,1
Sympl Games,3
Symphonic Games,1
"Sympact, eatenpancreas",1
Symmetry Break Studio,1
Symmetrical,1
Symmetric Games,1
Symfonim,1
Symbolic Software,1
Symbol Games,1
Symbiosis Games,1
Sylwester Osik,2
"Sylvie, Hubol",1
Sylvie,1
Sylvestris Game Studio,1
Sylvestrina,2
Sylvestre Studio,1
Sylvan Studios LLC,1
Sylvan,2
Sylvain Seccia,4
"Sylvain Harlaut, Jeremy",1
Sylvain Harlaut,1
Sylv,1
"Sylphsong, Inc.",1
Sylphe Labs,1
Sylph,5
Sylen Studio,1
Sykonest,1
Sykine,1
Syed Abdullah Shah,1
Sycoforge,2
Syberstudio,1
Syaxamaphone,1
Syahir Bahiran Hilmi,1
SyKoHPaTh,1
Swyan工作室,1
Swordtales,1
Swordlake Entertainment,1
SwordSwipe Studios,1
Sword N' Wands,1
Sword & Axe LLC,2
Swofski Games,1
Swizzle llc,1
Switchpilot,1
Switchblade Monkeys Entertainment,1
Switchback Studio,3
Switchback,1
Swipe claw games,1
Swing Swing Submarine,3
Swinfjord-Games,1
"Swimming Scorpions, MMEU",1
Swimming Scorpions,1
Swift Cucumber,1
Swerve Games,1
Swell Games LLC,3
Sweety Boy,14
Sweetlads,1
SweetPea,1
SweetDreams,1
SweetChiel,1
Sweet Slush Games,1
Sweet Potato Studio,1
Sweet Home Studios,1
Sweet Dreams Studio,1
Sweet Dog Studios,1
Sweet Bandits Studios,2
Sweet Banana Games,1
Sweet & Tea,1
Sweeping Avalanche Creations,2
SweepBros,1
SweatyChair,1
SwayBoo,1
Swarog Games,1
Swarm Creations,1
SwappApps,1
Swansong games,1
SwanSoft,1
Swan Software,1
Swan,1
Swamp Scarecrow Games,1
Swallowed Sun Pty Ltd,1
Swagabyte Games,1
Svyatoslav Burobin,1
Svution,1
Sviatoslav Solianyk,1
SvenRahn Games,1
Sven Neumann,1
"Sven Nagel, Sanja Flonk, Tim Veenstra, Dennis Drijver, Marissa Vollema, Guironey Coffi",1
Sven Möhring,1
Sven Kröber,1
Sven Co-op team,1
"Sven Ahlgrimm, Mathilde Hoffmann",1
Sven,1
Svavelstickan,1
Svarovsky,1
SvarogStudio,1
Svarog Studios,2
Svantech Studios,2
Svajūnas Žemaitis,1
"Suzuya, Sonic Powered Co.,Ltd.",1
Suzuki Suzuzou,1
Suzu Factory,1
Suzi Scroll Studio,1
"Suzhou DaYu Network Technology Co., Ltd., 蘇州大禹網絡科技有限公司, 苏州大禹网络科技有限公司",1
Suzhou Ailuoke Information Technology,1
Suzaku,1
Suvorov Mikhail,1
Suub,1
"SuuYasha, Lulalaby",1
Suttle Games LLC,1
SuspiciousMosquito,1
Suspicious Ducks,1
Suspicious Developments,5
Suspicious Box,2
Suspension Games,1
Sushicat Studio,1
Sushi_soft,2
Sushee,2
Susan,1
Susami,1
SusaDeBeast,1
SurvivalMyths,1
Survival Poly Games,1
Survios,8
Survgames,1
SurricateSoftware,1
Surrealscape Studios,1
Surrealist AS,1
Surreal Studios,1
Surreal Games,3
Surprising Studio,1
Surprised Turtle Studios,1
Surprised Monkey Studio,1
Surprise Studios,1
Surma Games,1
SuricateSoftware,1
Suricate Software,18
Suri,1
SurgutGames,1
Surfleek Studios,1
"Surf Monster Studio, Kinn Chen, Vicky, Chih-Hsuan Huang",1
Sureksu,1
Sureal,1
SureCreator,1
SureAI,2
Sure Why Not?,1
Sure Games,1
Surau Games,1
Supreme Clans Entertainment,1
Supra Games,3
Supr Experience,2
Suppressive Fire Games,1
Suppart,1
Suplife Games,9
Supine,1
Suphoebe Studio,1
Superwyh,2
Superverse Industries,1
Supertype,1
Superthumb,1
Superstruct,2
Superstring,3
Superstatic,2
Supersonic Software,1
Superpow,1
Superpog ApS,2
Superon,1
Supernova Software LLC,1
Supernova Games,6
Supernova Game Studio,1
Supernova Alt Games,1
Supernature Studio,2
Supermassive Games,6
Superluminal Cat,2
Superkami,1
Superhero Games,1
Supergonk,3
Supergiant Games,5
Supergalactiс Gamedev,2
Superframe,1
Superflat,1
Supereo,1
Superelectric Games,1
Superdeep Borehole,1
Supercube,1
"Supercombo, Inc.",1
Superbyte Games,1
"Superbrothers, Pine Scented",1
Superboss Games,1
Superboss,1
"Superacid, Manlev Games",1
SuperVillain Studios,1
SuperTry Studios,1
SuperTeam Games,1
SuperStormStudio,1
SuperSixStudios,2
SuperSeriousStudio,1
SuperSecret,1
SuperScience,2
SuperSane Games,1
SuperPAC,1
SuperInc.,1
SuperCooledGames,2
SuperChop Games,1
SuperBlast,1
Super8bitRafa,2
Super77,1
Super63,2
Super16bits,3
Super Zoo Story Team,1
Super X vision,1
Super X Studios LLC,1
Super X Studios,1
Super Walrus Games,4
Super Villain Games,1
Super Versus Inc.,1
Super Trampers Studio,1
Super Tight Games,1
Super Tech Dude,1
Super Systems Softworks,1
Super Suite Studios,1
Super Strong Games,1
Super Spin Digital,1
Super Soul LLC,1
Super Soakdown LLC,1
Super Sly Fox,1
Super Sexy Software,1
Super Rokket,1
Super Rice,1
Super Retro Duck,1
Super Regular Guy,1
Super RR Man Productions,1
Super Puzzle Studios,1
Super Powerup Games,1
Super PowerUp Games,14
Super Plus Ultra LLC,1
Super Pixel Games,2
Super Mega® Games,1
Super Mega Team,2
Super Legit Games,1
Super J Digital LLC,1
Super Item Studios,1
Super Icon Ltd,2
Super God,1
Super Garage,1
Super Games Studio,3
Super Fighter Team,1
"Super Duper Garrett Cooper, Nonadecimal Creative",1
Super Duck,1
Super Dead LLC,1
Super Bit Machine,1
"Super Awesome Hyper Dimensional Mega Team, Tama Global",1
SupaGames,10
Supa Serious,1
"Sup3rDank Games, Jordan Gates",1
Suomi-Peli,1
Suomen Kuljetusturva Oy,1
Sunwolf Entertainment,1
Sunward Games,13
Sunstrock,1
"Sunstone Games, LLC.",1
Sunsigne,1
SunshineOvercast,7
Sunshine.Inc,1
Sunshine Games,1
Sunshine Error,1
Sunset Script,1
Sunset Dreamland,1
Sunset Division,1
Sunset City Software,1
Sunset Arctic Games,2
Sunscorched Studios,1
Sunscale Studios,2
Sunrise9,3
Sunrise Games Ltd.,1
Sunpeak Games,1
Sunnyview,1
Sunnyside Games,2
Sunny Valley | 晴天谷,1
Sunny Syrup Studio,1
Sunny Game Studios,1
Sunny Game,1
Sunny Entertainment,1
Sunny Demeanor Games,2
Sunny Blaze,2
Sunna Entertainment,2
Sunlight Studio - Davi Valentim,1
Sunlight Games,8
Sunless Planet games,1
Sunland Estudios de Entretenimento Ltda,1
SunkenFish,1
Sunken Places,1
Sunil Sutariya,1
"Sunho Kim, Gibeom Seo, Donghyun Lee",1
Sunhead Games,1
Sungift Games,2
Sungazer Software LLC,2
Sungame Studio,3
Sunflower Games Studio,1
Sunflower Games,2
Sunflo Labs,1
Sunfleck Software,1
Sune H. W.,1
Sundoe,1
Sundial Studios,1
Sundial Shark,1
Sundew Studios,2
Sundermix LLC,1
Sunday's Games,1
Sunday Akor,2
Sundae Month,3
Sundae Factory,1
Suncrash,2
Suncloud Entertainment,1
Suncats,3
Sunburst Studio,1
Sunblink,1
Sunbeesoft,1
Sunamii,1
SunSoup,1
SunS3b,1
SunRay Games,4
SunMaster,1
Sun-Studios,1
Sun-Riviera Studios,1
Sun Studios,1
Sun Labyrinth,2
Sun Dryd Studios,1
Sun Bay Games,1
Sun & Eyes,1
Sumom Games,1
Sumo Studio,2
"Sumo Digital Ltd, Lucky Mountain Games",1
Sumo Digital Ltd,1
Sumo Digital Academy,1
Sumo Digital,8
Summitsphere,2
Summit Fever,1
Summer Media,1
Summer Bear Studio,1
Suminell Studios,1
Sumi Labs,1
Sumalab,3
Sulton,1
Sultan.emr,1
SuloSounds,1
Sullivan Studios,1
Sullivan Rogerson,1
Sullivan Boyd & Cadence Petersen,1
SulMatul,1
Sukru Erdem SAHIN,1
SukiU Games,1
SukeraSparo,2
SukeraSomero,2
Sukeban Games,2
SukeBege,1
"Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon",1
"Sujin Ri, Marcos Arroyo, Seona Lee, Somi Lee, Sohyeon Jeon",1
Sujikon,1
Sujiko,4
Sujay Noronha,1
Suits & Sandals,5
Suicidal Robot Games,1
"Sugoi Yellow, fatherbeno",1
Sugoi Yellow,2
Sugarsnapp Games,2
Sugarpunch Games,1
SugarHyped,1
Sugar Star,1
Sugar Slip,1
Sugar Rush Studios,1
Sugar Games,1
SugGames,2
"Sue Bean Studios, LLC",1
Sue Bean Studios,1
SudoTilt,1
Sudo Games,1
Sudden Event Studios,1
Sudd City Interactive,1
Sudakarn Vivatvanichkul,2
Sudaka Games,2
Suckerbird Games,1
SuckerFree Games,2
Suchworks Ltd,1
SuchWare Games,1
Succubus Diary,1
Succubella Games,10
Success Games,7
Subworld,1
"Subvert Games, Polygon Moon",1
Subversion Squad Studio,2
Subtle Games,1
Subtle Arts,1
Subtales Studio,1
Substantial,1
Substandard Shrimp,1
Substance Games,1
Subsolar Entertainment,1
"Subsoap, Pixcade.com, SolitairePlease.com",1
Subsoap,4
Subset Games,2
Subscience Studios,1
Subreffiy,1
Subreality Studios LLC.,1
Submersivo Game Studio,1
Sublunary Studio,1
Sublimis Games,1
Subliminal,1
Sublemonal,1
Subfrost Interactive AB,1
Subdream Studios,3
Subcult Joint LTD,1
Subcreation Studio,1
Subconscious Games,1
Subatomic Studios LLC,1
"Subaltern Games, LLC,",1
"Subaltern Games, LLC",1
Subaltern Games,1
SubZero Development Ltd,1
Sub518Game,1
Sub Orbital Software,12
SuR ENTERTAINMENT,1
SuBaseST,1
"Stéphanie Morissette, Sporobole",1
Stéphane Bottin,1
Stèphano M. M. G.,1
Stylua Games,1
Styloxis,1
Stylized Indie Games,1
Stygian Software,1
Stutter Fox Studios,1
Stusse Games,1
"Stupidi Pixel, Tiny Pixel",1
StupidSimulators,1
Stupid Stupid Games,2
Stupid Industries,1
Stupapupa Games,1
Stunt Monkey Games,1
Stunlock Studios,4
Stun Games,1
"Stumpy🐙Squid, Fury Studios, Coatsink",1
Stumphead Games LLC,1
Stumbling Cat,1
Stuka Games Inc,1
Stuido Studios,1
"Stuffed Wombat, ThorHighHeels",1
"Stuffed Wombat, Silkersoft, Lukke",1
"Stuffed Wombat, Inko, Niklas Ström",1
"Stuffed Wombat, Franek, Britt Brady",1
"Stuffed Wombat, Britt Brady, Miroko, Clovelt",1
"Stuffed Wombat, Beethoven",1
Stuffed Castle Studios,1
Study Bunny Games LLC,1
Studwell,1
StudiosWeiss,1
Studios iLLOGIKA,1
"Studiobside Co.,Ltd",1
StudioVR,1
StudioTwilight,1
StudioS,5
StudioQi,1
StudioNAZE,1
StudioGoupil,1
StudioGekko,1
StudioGIW,6
StudioFriends,2
StudioDobby,1
StudioBando,1
StudioBACKSTAGE,1
Studio94RTP,1
Studio7,1
"Studio48, Turykin Nikolay",1
Studio48,2
Studio47,1
Studio4,1
"Studio2760, Dnovel",1
Studio2760,1
Studio229,1
"Studio217, LLC",1
Studio Élan,4
"Studio spektar, Porcupine Parkour",1
Studio left-handed,1
Studio idiot,1
Studio by the Bay,2
"Studio Zero Inc., Aerilys",1
Studio Z 3D,1
Studio Yarn,1
"Studio Xiphias LLC, Business As Usual Studios",1
Studio Wumpus,1
"Studio Work3, Lampert & Sons, Skyboy Games",1
Studio Wokkel,1
"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",2
Studio Water Bear,1
Studio Vyrsar Games,1
"Studio Voyager, Iguanabee",1
"Studio Voyager, IguanaBee",1
Studio Vienas,1
Studio Vela LLC,1
"Studio V, VLG",1
Studio V,1
Studio Unagi,1
Studio Tubanar,1
Studio Tomego,1
Studio Tolima,1
Studio Thunderhorse,1
Studio Thug Life,4
Studio Theophilus,1
Studio TeamShuriken,1
Studio Tapioca,1
Studio Tamafry,1
Studio TAPAS,1
Studio T-REX,1
"Studio SyndiCat, Ink Rose Inc",1
Studio SyndiCat,1
Studio Surgical Scalpels,1
Studio Supersoft,1
Studio Stobie,1
Studio Sterneck,1
Studio Stefferp,1
Studio Squid Inc,1
Studio Sprouts,1
Studio Spektar,1
Studio SoulAres,2
Studio Sott,1
"Studio Sonant, Logen Keri",1
Studio Snowblind,1
Studio Snizix LLC,1
Studio Six,1
Studio Sirah,1
Studio Singing Crows,1
Studio SiestA,2
Studio Shinto,1
Studio Shen,1
Studio Seven,2
Studio Seufz,2
Studio Semitorus,1
Studio Seeck,2
Studio Saizensen,10
Studio Sai,1
"Studio Roqovan, Inc.",1
Studio RO,2
Studio Quasimodo,1
Studio Primitive,1
Studio Pond,1
Studio Pixel Punk,1
Studio Pixel,1
Studio Phanteke,1
Studio Pareidolia,1
Studio PaloAlto,1
Studio Pakira,1
Studio Paint,1
"Studio PICO, ESQUADRA,inc.",1
Studio Oleomingus,3
Studio Odin inc.,1
Studio Odin Inc.,1
Studio Nyx,1
Studio Nul Games,1
"Studio Noir, LLC",1
Studio Nisse LLC,1
Studio Nihilominus,1
Studio Nightpager,1
Studio Nightcap,1
Studio Niente,1
Studio Nevermore,1
Studio Nayuta,1
Studio Nanafushi,1
Studio Namaapa,3
Studio NAP,1
Studio Mori,1
Studio Moondowner,1
Studio Monolith,1
Studio Molo,1
Studio Merkas,1
Studio Meow Meow Galactic,1
Studio Mechka,1
Studio Mantasaur,1
Studio Mankeli,1
Studio Madeleine Chai,1
Studio Mabbit,1
Studio MDHR Entertainment Inc.,1
Studio M,1
Studio Loregard,2
Studio Lintex,1
Studio Libeccio,1
Studio Kumiho,1
Studio Kraze,1
Studio Kraken,1
Studio Koprol,1
Studio Koba,1
"Studio Klondike, Team Nekojishi",1
Studio Klondike Australia,1
Studio Kit,1
"Studio Kamii, Todak Studios",1
Studio June,1
Studio Jubei,1
Studio Jimothy,1
Studio JAW,1
Studio Inward,11
Studio Inkyfox,1
Studio Indéfini,1
Studio II,2
Studio Hip Sword,2
Studio Hex,1
Studio Hazy,1
"Studio Hatch Co., Ltd.",1
Studio Half-,1
Studio Halabi,1
Studio HOSHIWATARI,1
Studio HK,4
Studio HG,1
Studio Grimm,1
Studio Grawlix,1
Studio Goya,11
Studio Gier,1
Studio Gauntlet,2
Studio Ganzheit,1
Studio Gamebit,2
Studio Gamaii,3
Studio Frostbit,1
Studio Forge Ltd,1
Studio Floris Kaayk,1
Studio Flip,1
Studio Fizbin,5
Studio Firlefanz,1
Studio Fawn,2
Studio Fable,1
Studio FG934,1
"Studio FANACCI Co., Ltd.",1
Studio F#,1
Studio Evil,4
Studio Esagames,1
Studio Erikson,1
Studio Eres,1
Studio Elfriede,1
Studio Ekosi,1
Studio Egg Roll,1
Studio EGA,1
Studio DynoStorm,1
Studio Drydock Pty Ltd,1
Studio Dragonet,2
Studio Draconis,1
Studio Doodal,1
"Studio Don Quixote, Minotaur production",1
Studio Don Quixote,1
Studio Digital Caffeine,1
Studio Diakamos,1
Studio Daimon,1
Studio Cypix,1
Studio Cut to Bits,1
Studio Craft Development,1
Studio Clump,1
Studio CloudScape,1
Studio Clangore,4
Studio Cima,1
Studio Chili,1
Studio Chien d'Or,2
Studio Chahut,1
Studio Centurion,1
Studio Captivate,1
Studio COATS,1
Studio Burning Eyes,1
Studio Bravarda,3
Studio Black Flag,1
Studio Binokle,1
Studio Biest,2
Studio Bidon Games,3
Studio Beast,2
Studio Bearvibes,1
Studio Bean,5
Studio Baikin,1
Studio Baby,1
Studio Axiom,1
Studio Aurum,1
Studio Attic Salt,1
Studio Asterism,1
Studio Any Percent,1
Studio Amigo,1
Studio Amateur,3
Studio Alemni,1
"Studio Albatros, Drink7 Studios",1
Studio Ahn,1
Studio Aesthesia,1
Studio AWE,1
Studio 90,1
Studio 9.7,1
Studio 8ight,1
Studio 73,1
Studio 4D,1
Studio 397,1
"Studio 346, Inc.",1
Studio 1983,1
"Studica Solution, Electric Monkeys",1
Students of FH Salzburg,1
"Student team of Korea Vocational College of Information and Technology (Republic of Korea), 한국IT전문학교 학생팀",1
Student loan studios,1
Stuck In Attic,2
Stubby Games,1
Stubborn Horse Studios,1
Stubbird Games,1
Stuart's Pixel Games,1
Stuart Spence,1
Stuart Rutter,1
Stuart Mackereth,1
Stuart Foley,1
Stuart Bray,1
Stryde Games,1
StrvStraja,1
Struggling Ball,1
Struggle Bus Games LLC,1
Strudio Company,3
Structures from obscurity,1
Struct9,2
Strongshell Software,5
"Strongkid, LLC",1
Stronggaming Studios,1
Strongfinger,1
Strongbox3d,1
Strongbow,1
Strollart,1
Stroboskop,4
Strobetano,1
Strive Continually,2
Striped Panda Studios,1
Striking Distance Studios,1
Strike Games,1
Strife AI,1
Strides Interactive Game Studio,2
Streum On Studio,3
Stress Level Zero,5
"Strength in Numbers Studios, Inc",3
"Strelka Games, Yonder",1
StrelitziaReginae,2
Strelitzia Reginae,2
Streko Graphics,1
StreetLordZ,1
StreetLight Studios,1
Street's Game,1
Street Lamp Games,1
Street Gaming Inc,1
Street Conference Studios,1
Streamline Games,1
StreamerTech,1
Stream studio,1
Straylight Entertainment,1
Stray Voltage Games,1
Stray Hare Devs,1
Stray Feet,2
Stray Fawn Studio,4
Stray Dog Studios,1
Stray Bombay,1
Stray Basilisk,1
Straxis Studios,1
Strawdog Studios Ltd,1
Strawberrytail,1
Strawberry Games,1
"Strawberry Game Studios, LLC",3
Strawberry Game Studios,1
Strawberry Entertainment,1
Stratton Studios,2
Stratosphereoff,1
Stratera Games,5
"Strategy Mill, BL-Logic, Scribble Pad Studios, Polywickstudio",1
Strategy Labs,1
"Strategy Game Studio, Headquarter Wargames",1
Strategy Game Studio,11
"Strategy Forge S.A., Jujubee S.A.",1
Strategy Forge S.A.,2
Strategy First,9
Strategy 3 Tactics,4
Strategic Thinking LLC,1
"Strategic Simulations, MicroMagic",1
Strategic Simulations,4
Strategic Designs Ltd.,6
Strategiae,1
"Strangest.io, Ash + Maks, Mr. RedCoffee, Kotob, Paul Lethargy, Utkucbn, Linker",1
Strangest.io,1
Stranger Games,1
Stranger & Stranger Games,1
Strangely Interactive Ltd,1
Strange_Indie_Team,1
StrangeLight Games,2
Strange Spaces,1
Strange Shuttle LLC,1
Strange Shift Studio,1
Strange Scaffold,5
Strange Qwarq,1
Strange Monkey Studios,1
Strange Loop Games,2
Strange Journey,1
Strange Horizons Ltd,1
Strange Games Studios,2
Strange Fire,3
Strange Creatures Studio LLC,1
Strange Company,1
Strange Box Tales,1
Strange Beat Games,1
"Stranga, Tommah",2
Stranga Games,2
Stranga,4
Strandline Games,1
Straky,1
Straitlace Studios,2
Straight Right,1
Straight Back Games,3
Strafing Forward,1
Stradvian Games,1
"Stovetop, LLC",1
Stove Studio,2
Stout Kassel Games,1
Stout Games,1
Storyyeller Games,2
Storytaco,1
Storyend Studios,1
Storycentric Worlds,5
"Storybird, Julien Rocca",1
Storybird Studio,2
Storybird Games,1
Storybird,2
StoryTale Studios,3
StorySphere,1
StoryCropStudio,1
StoryAge,1
Story Fort LLC,1
Stormy Nights Interactive LLC,1
Stormtide Productions,1
Stormtide,1
Stormseeker Games,1
"Stormregion, THQ Nordic",2
Stormregion,1
Stormplay,1
Stormlord Games,1
Stormling Studios,5
Storming Tech,4
Stormind Games,3
"Stormhunter Studios, LLC",1
"Stormfront Studios, Strategic Simulations",1
Stormfront Studios,1
Stormev,1
Stormee Games,1
